business_id,name,city,state,neighborhood,address,stars,review_count,is_open,categories,price_range,attributes_wifi,attributes_noise_level,attributes_ambience
kLSEk3qXY1KdtFjxHJ9pww,McDonald's,Philadelphia,PA,,501 Franklin Mill Cir,1.5,20,1,"Restaurants, Fast Food, Food, Coffee & Tea, Burgers",1,,,"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}"
z7sp6u5JnNlq2ziu31EFvw,CVS Optical,Philadelphia,PA,,1405 South 10th St,2.5,35,1,"Shopping, Food, Health & Medical, Pharmacy, Convenience Stores, Drugstores",2,,,
JomDoQafikclSVVCPkWjnA,Cedar Park Cafe,Philadelphia,PA,,4914 Baltimore Ave,4.0,301,1,"Diners, Restaurants, Sandwiches, Breakfast & Brunch, Vegetarian",1,u'no',u'average',"{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}"
kq5Ghhh14r-eCxlVmlyd8w,The Coventry Deli,Philadelphia,PA,,2000 Market St,4.0,65,1,"Restaurants, Delis, Salad, Sandwiches",1,,u'average',"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': True}"
y1HgVnt4K5owmYXC5yXLGg,Flambo Caribbean Restaurant,Philadelphia,PA,,820 N Broad St,4.5,138,1,"Trinidadian, Caribbean, Restaurants, Seafood",2,u'free',u'average',"{'touristy': False, 'hipster': False, 'romantic': True, 'divey': False, 'intimate': True, 'trendy': False, 'upscale': False, 'classy': True, 'casual': False}"
RrqRin8BYGrTlJbCDwtLzA,Wawa,Philadelphia,PA,,3744 Spruce St,3.5,50,1,"Delis, Gas Stations, Food, Convenience Stores, Restaurants, Automotive, Coffee & Tea, Sandwiches",1,u'free',u'average',"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"
HuDNHqKv9n1mWpe4BqCnwA,Minas Pizza,Philadelphia,PA,,6151 Ridge Ave,3.0,54,1,"Restaurants, Pizza",1,u'no','average',"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"
BxR5hjyBnJZrm_nnaCtGQw,The Lunar Inn,Philadelphia,PA,,3124 Richmond St,4.5,29,1,"Bars, Food, Restaurants, Beer, Wine & Spirits, American (Traditional), Nightlife",2,u'free',,"{u'divey': None, u'hipster': True, u'casual': True, u'touristy': False, u'trendy': True, u'intimate': None, u'romantic': None, u'classy': None, u'upscale': False}"
NQSnr4RPUScss607oxOaqw,Chase's Hop Shop,Philadelphia,PA,,7235 Rising Sun Ave,4.5,116,1,"Chicken Wings, Nightlife, Bars, Delis, Food, Beer Gardens, Sandwiches, Beer Bar, Restaurants, Beer, Wine & Spirits, Gastropubs",1,u'free','quiet',"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"
V6Om7YZhlRQRU7WfuxHq8Q,Beck's Cajun Cafe,Philadelphia,PA,,51 N 12th St,4.0,485,1,"Restaurants, Cajun/Creole",1,u'free',u'average',"{'touristy': None, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': True}"
DOl21AqtT74dUZ3kvXNNcA,Golden Triangle,Philadelphia,PA,,610 S 5th St,4.5,159,1,"Restaurants, Malaysian, Burmese, Asian Fusion, Thai",2,'no',u'quiet',"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"
PvT44WlqJLkUrCITo6AjRA,Breakfast Boutique Chestnut Hill,Philadelphia,PA,,8630 Germantown Ave,3.0,151,1,"Breakfast & Brunch, Restaurants",2,u'free',u'average',"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': None, 'trendy': None, 'upscale': False, 'classy': None, 'casual': True}"
y44MbCvvtmg1FpkNGSWisw,Tony's Luke,Philadelphia,PA,,8500 Essington Ave,2.5,172,1,"Cheesesteaks, Restaurants",2,'no','loud',"{'touristy': True, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': True}"
U30ggGzFpXvc2NZYwOW3qg,Mood Cafe,Philadelphia,PA,,4618 Baltimore Ave,4.5,458,1,"Cafes, Pakistani, Juice Bars & Smoothies, Restaurants, Ice Cream & Frozen Yogurt, Halal, Indian, Coffee & Tea, Food",1,u'no',u'quiet',"{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}"
68ThEdiK0eWCEgGEmV9Tng,Southgate,Philadelphia,PA,,1801 Lombard St,4.0,323,1,"Breakfast & Brunch, American (Traditional), Korean, Restaurants, Gastropubs, Nightlife, Bars, Cocktail Bars",2,u'no',u'average',"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': True}"
cEG1r9aRMJwmRQVkh7eiJg,Falls Deli,Philadelphia,PA,,3492 Tilden St,4.5,31,1,"Bagels, Food, Sandwiches, Delis, Breakfast & Brunch, Restaurants, Event Planning & Services, Caterers",,u'free',,
TttFjRQ-8Iz8by4hsD7iOQ,Angelina's,Philadelphia,PA,,743 S 8th St,4.5,49,1,"Restaurants, Italian",3,u'free',u'average',"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': False}"
di5ihAL9VWoctHelY8kLTQ,Gigi and Big R,Philadelphia,PA,,38th and Spruce,4.0,81,1,"Restaurants, Food, Caribbean, Food Trucks",2,u'no',u'average',"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': True}"
Pb5agnsD9EdCl6yuZp2jJA,O Sole Mio,Philadelphia,PA,,250 Catharine St,4.5,85,1,"Food, Seafood, Sardinian, Gelato, Restaurants, Pizza, Italian",,u'no',,"{'touristy': None, 'hipster': None, 'romantic': None, 'divey': False, 'intimate': None, 'trendy': None, 'upscale': None, 'classy': None, 'casual': None}"
B6qHZCAs7Nka-1zdjCzAIQ,Butter's Soul Food,Philadelphia,PA,,2730 W Girard Ave,3.0,77,1,"Food, Caterers, Event Planning & Services, Restaurants, Soul Food",2,u'no',u'quiet',"{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}"
3Lf3nWp9TcIj7hvw9YZeMA,Cannuli's Quality Meats & Poultry,Philadelphia,PA,,937 S 9th St,4.5,38,1,"Specialty Food, Caterers, Meat Shops, Food, Event Planning & Services",2,,,
cLlBDZxYJ1dt1JgMuZnXew,Olly,Philadelphia,PA,,700 S 5th St,4.0,51,1,"Pizza, Food, Bagels, Sandwiches, Comfort Food, Breakfast & Brunch, Burgers, American (New), Nightlife, Bars, Wine Bars, Restaurants",,u'no',u'average',"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': False}"
MMRRS6YhVRx_iN5-JhMRYg,Han Dynasty,Philadelphia,PA,,3711 Market St,4.0,783,1,"Restaurants, Chinese, Szechuan",2,u'no',u'average',"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': True}"
ugSVRAKO6mxvsrElFg8USw,México Lindo,Philadelphia,PA,,700 Moore St,4.5,73,1,"Mexican, Restaurants",1,'paid',u'quiet',"{u'divey': True, u'hipster': False, u'casual': None, u'touristy': False, u'trendy': False, u'intimate': None, u'romantic': False, u'classy': False, u'upscale': False}"
duf2PORLOL6it1dTGhSnKA,Junes Breakfast,Philadelphia,PA,,6227 Lancaster Ave,2.5,20,1,"Breakfast & Brunch, Restaurants, Coffee & Tea, Food, Sandwiches, American (New)",1,u'no',u'loud',"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}"
bKppmYKQ_-9cpp2yziB-Qw,Lincoln Chicken Pizza And Grill,Philadelphia,PA,,2614 W Girard Ave,2.5,20,1,"Cheesesteaks, Chicken Wings, Restaurants, Pizza",1,,u'average',"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"
00Vn4VUTWl71_cFPziRQNQ,Crab & Claw,Philadelphia,PA,,7801 Ogontz Ave,3.0,65,1,"Seafood Markets, Specialty Food, Food",2,,,
Zk_GdMMPgEfKUECCxAxvwQ,Pho Nam Giang,Philadelphia,PA,,427 Franklin Mills Cir,4.5,23,1,"Chinese, Restaurants, Vietnamese, Asian Fusion",2,u'free',,"{u'divey': False, u'hipster': None, u'casual': None, u'touristy': False, u'trendy': False, u'intimate': None, u'romantic': None, u'classy': False, u'upscale': False}"
w0zKpH49tW6Y-b6ZJzKMFw,Chuck's Alibi,Philadelphia,PA,,7301 Oxford Ave,2.0,76,1,"Food, Restaurants, Seafood",2,u'free',u'very_loud',"{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}"
eqNutOMnPqKa9QDAY6KfEw,J'aime French Bakery,Philadelphia,PA,,212 S 12th St,4.5,310,1,"Food, Juice Bars & Smoothies, Coffee & Tea, Restaurants, Bakeries, Cafes",2,u'free',u'average',
7lwe7n-Yc-V9E_HfLAeylg,Pub & Kitchen,Philadelphia,PA,,1946 Lombard St,3.5,615,1,"Restaurants, Pubs, Food, Bars, American (New), Nightlife",2,u'no',u'average',"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': True}"
5m3ND7lNNd6zo-bNQGoXhQ,Three 12 Sport Bar and Lounge,Philadelphia,PA,,312 Market St,2.5,33,1,"Lounges, Sports Bars, Bars, Cocktail Bars, Nightlife, Restaurants, American (Traditional)",2,u'free',u'average',"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': True}"
oBhJuukGRqPVvYBfTkhuZA,Square 1682,Philadelphia,PA,,121 S 17th St,3.5,385,1,"American (New), Breakfast & Brunch, Bars, Nightlife, Restaurants",2,u'free',u'average',"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': True, 'upscale': False, 'classy': True, 'casual': False}"
7sKfrJmjG6unAQeWdQUe2w,Franzone's Pizzeria & Restaurant,Philadelphia,PA,,114 Levering St,3.5,110,1,"Pizza, Restaurants",1,u'free',u'quiet',"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': True}"
14ZGwnDyydXdSBsLXpSUrA,Vientiane Café,Philadelphia,PA,,4728 Baltimore Ave,4.0,304,1,"Vietnamese, Restaurants, Food, Thai, Coffee & Tea, Laotian",2,'no',u'average',"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': True}"
tzVLTQNUtiCAxUZmEuF0vQ,1 Tippling Place,Philadelphia,PA,,2006 Chestnut St,4.0,300,1,"Bars, Nightlife, Lounges, Cocktail Bars",2,u'free',u'average',"{'romantic': False, 'intimate': False, 'classy': True, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"
9XpU6r6ATXSWYfbU7kibaQ,Passero's Coffee Roasters,Philadelphia,PA,,1601 John F Kennedy Blvd,4.5,91,1,"Coffee & Tea, Restaurants, Food, Coffee Roasteries, Sandwiches",1,u'free',u'loud',"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"
ld1b8y_PHH6Mn_e7T0u04g,Gachi Sushi and Noodle,Philadelphia,PA,,"8500 Essington Ave, A West Terminal",4.0,95,1,"Noodles, Japanese, Restaurants, Sushi Bars",2,u'free',,"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': True}"
zVmW-ohNzhOPiBIeUPL62g,Goody's Pizza,Philadelphia,PA,,6237 Frankford Ave,2.0,25,1,"Restaurants, Pizza",1,u'no','average',"{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': False}"
fr2qDm_mY1afIGMvqsKUCg,George's Wings,Philadelphia,PA,,3818 Morrell Ave,3.5,50,1,"American (Traditional), Fast Food, Restaurants, Chicken Wings, Food, Seafood, Sandwiches, Wraps, Burgers",1,u'no','average',"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"
GOSVLhjUT6TnrPhkkmDOpw,Vineyards Cafe,Philadelphia,PA,,847 N 16th St,4.5,192,1,"Coffee & Tea, Cafes, Food, Creperies, Internet Cafes, Restaurants, Breakfast & Brunch",1,u'free','average',"{u'divey': False, u'hipster': True, u'casual': True, u'touristy': False, u'trendy': None, u'intimate': False, u'romantic': False, u'classy': None, u'upscale': False}"
kOHcpCZQd4uNp6G2uE8o2A,PrimoHoagies,Philadelphia,PA,,1528 W Ritner St,4.0,43,1,"Delis, Restaurants, Italian, Local Flavor, Sandwiches",1,u'no',u'quiet',"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"
h85b3MFPWyaopMBy8DpBpA,Ron's Caribbean Cuisine,Philadelphia,PA,,5726 N Broad St,4.0,142,1,"Restaurants, Food, Ethnic Food, Cafes, Caribbean, Specialty Food",2,u'no',u'average',"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': None, 'intimate': None, 'trendy': None, 'upscale': False, 'classy': None, 'casual': None}"
9nkYaCQRyO0fi8SrXDFhGw,Rittenhouse Market,Philadelphia,PA,,1733 Spruce St,2.5,113,1,"Food, Grocery",3,,,
ZMJz4ekxrcZdhBcnK4B_6g,Kurry Shack,Philadelphia,PA,,2015 E Moyamensing Ave,3.5,29,1,"Vegetarian, Specialty Food, Health Markets, Halal, Indian, Restaurants, Food",,u'free',,"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}"
kLS3Sth5HvO0IjrXCCvXxA,Wawa,Philadelphia,PA,,19th St & Market St,2.5,45,1,"Food, Automotive, Convenience Stores, Coffee & Tea, Gas Stations, Sandwiches, Restaurants",1,u'free',u'average',"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}"
sdWuLh-auc0nC2Jy6_26AQ,The Black Sheep Pub & Restaurant,Philadelphia,PA,,247 S 17th St,3.5,339,1,"Bars, Pubs, Irish Pub, Nightlife, Sports Bars, Restaurants, American (New)",2,'free',u'average',"{u'divey': None, u'hipster': False, u'casual': True, u'touristy': False, u'trendy': False, u'intimate': False, u'romantic': False, u'classy': False, u'upscale': False}"
eDMFTNR_o3Z2wK8WmAo77Q,CVS Pharmacy,Philadelphia,PA,,3780 Main St,3.0,33,1,"Shopping, Convenience Stores, Pharmacy, Health & Medical, Food, Drugstores",1,,,
3CsBRtDT5WOUu8IY0mHhXw,Slices Pizza,Philadelphia,PA,,4249 Ridge Ave,4.0,122,1,"Pizza, Food, Restaurants",1,,u'average',"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}"
1NCUTTp6rIyXpwUDVv9qOA,Lazos Pizza & Grill,Philadelphia,PA,,2533 Poplar St,4.0,176,1,"Pizza, American (Traditional), Restaurants, Italian",1,u'no',u'average',"{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}"
qHCfhWPyb1GXpzq9Wk3Vkg,New England Pizza,Philadelphia,PA,,6728 Bustleton Ave,3.0,22,1,"Pizza, Restaurants",1,'no',u'quiet',"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"
Utc1KFuFQ-wwLiUTj5FvmA,Domino's Pizza,Philadelphia,PA,,"2308 W Oregon Ave, Ste C",2.0,26,1,"Sandwiches, Pizza, Restaurants, Chicken Wings",1,u'no',u'very_loud',"{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': False}"
Tdz-vjDRKI6LRzyaW3BMkg,Charlie's Roast Pork,Philadelphia,PA,,1301 S 3rd St,4.5,30,1,"Restaurants, Breakfast & Brunch, Sandwiches",,,,"{u'divey': None, u'hipster': None, u'casual': True, u'touristy': False, u'trendy': True, u'intimate': None, u'romantic': False, u'classy': None, u'upscale': None}"
h0Gy4HEgeZvN9kb3_rB5JA,New Liberty Distillery,Philadelphia,PA,,1431 N Cadwallader St,4.5,48,1,"Food, Beer, Wine & Spirits, Distilleries, Venues & Event Spaces, Event Planning & Services, Bars, Nightlife",2,u'free',,
OTBWyXkNsBYHqIlXJXnEDA,Starbucks,Philadelphia,PA,,1528 Walnut St,3.0,39,1,"Food, Coffee & Tea",2,u'free',,
8LonS_bxNmCDk3FWiG9lzA,Tomo Sushi & Ramen,Philadelphia,PA,,228 Arch St,4.5,193,1,"Japanese, Restaurants, Ramen, Sushi Bars",2,u'no',u'average',"{u'divey': False, u'hipster': False, u'casual': True, u'touristy': False, u'trendy': True, u'intimate': None, u'romantic': True, u'classy': None, u'upscale': False}"
cqIYskWPVQ0rz1XSG0ohxg,City Food Tours,Philadelphia,PA,,,4.5,48,1,"Hotels & Travel, Specialty Food, Food, Food Tours, Tours",2,u'no',,
Ydo8zFl1PaO--g5zwyVyVg,Loco Lucho's Latino Kitchen,Philadelphia,PA,,51 N 12th St,3.5,40,1,"Spanish, Restaurants, Latin American, Puerto Rican, Caribbean, Cuban",,,,"{'touristy': None, 'hipster': None, 'romantic': False, 'divey': None, 'intimate': None, 'trendy': True, 'upscale': None, 'classy': None, 'casual': None}"
xruWHK8Z5N0JWyQubLHjgA,Potito's Italian American Pastries,Philadelphia,PA,,1614 W Ritner St,3.5,88,1,"Food, Restaurants, Bakeries",2,,,
TFnGJlA5l_HDdzGDkNTdTA,Smiths Restaurant and Bar,Philadelphia,PA,,"39 S 19th St, Ste 41",3.0,225,1,"American (New), Bars, Nightlife, Lounges, Restaurants",2,'no',u'loud',"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': True}"
I5KZm-NnxYeEQsmp6nK5_w,Las Cazuelas Restaurant BYOB,Philadelphia,PA,,426 W Girard Ave,4.0,338,1,"Food, Tacos, Mexican, Latin American, Restaurants, Spanish",2,u'free',u'average',"{u'divey': False, u'hipster': False, u'casual': True, u'touristy': False, u'trendy': False, u'intimate': None, u'romantic': None, u'classy': True, u'upscale': False}"
zUJMvjK6aBeQtVCowZ85-w,Panasian Buffet,Philadelphia,PA,,833 Adams Ave,3.5,62,1,"Pan Asian, Japanese, Buffets, Restaurants, American (Traditional), Chinese, Seafood",2,u'free',u'average',"{u'divey': None, u'hipster': False, u'casual': True, u'touristy': False, u'trendy': False, u'intimate': False, u'romantic': None, u'classy': True, u'upscale': False}"
vdpxxb6fxjYtJMnW_V0GZg,Lucky Goat Coffeehouse,Philadelphia,PA,,888 N 26th St,4.5,135,1,"Food, Coffee & Tea",1,u'free',u'average',
8hgo446H2HoYlZocEi1SJw,Paris Baguette,Philadelphia,PA,,6773 N 5th St,4.0,32,1,"Bakeries, Food",1,,,
6jNFUIKiCCKnLCpGJpkyrg,McDonald's,Philadelphia,PA,,710 Adams Ave,1.0,22,1,"Fast Food, Restaurants, Food, Coffee & Tea, Burgers",1,u'free',u'very_loud',"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"
zwTmOj4B_OVPMTMYijQiKg,Queen Sheba,Philadelphia,PA,,4511 Baltimore Ave,4.0,64,1,"Nightlife, Restaurants, Sports Bars, Bars, Ethiopian",1,u'no',u'average',"{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': True, 'classy': False, 'trendy': False, 'upscale': False, 'casual': False}"
UhIdCsdiWS4K0EkbvVdlAw,Ed's Pizza House,Philadelphia,PA,,6047 Ogontz Ave,1.5,24,1,"Restaurants, Pizza",1,'no','average',"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}"
Bih0eT_lbbCUwKmGYpX0hw,Ricci's Hoagies,Philadelphia,PA,,1165 S 11th St,4.0,67,1,"Restaurants, Italian, Sandwiches",1,u'no',u'average',"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}"
qot32tHVWZpiJibLTwQGyw,Pina's Pizza,Philadelphia,PA,,8919 Ridge Ave,3.5,47,1,"Restaurants, Italian, Pizza, Seafood",1,u'no',u'average',"{'touristy': None, 'hipster': None, 'romantic': False, 'divey': None, 'intimate': False, 'trendy': False, 'upscale': None, 'classy': False, 'casual': None}"
