business_id,name,stars,review_count,price_range,city,address,categories,profile_text
dChRGpit9fM_kZK5pafNyA,The Love,4.0,618,2.0,Philadelphia,130 S 18th St,"Restaurants, American (New), Breakfast & Brunch, Burgers","The Love. Cuisine: Restaurants, American (New), Breakfast & Brunch, Burgers. Located at 130 S 18th St, Philadelphia. Rating: 4.0 stars. Noise level: average. Ambience: romantic, intimate, trendy, classy. Popular Keywords: experience, salad, boyfriend, brunch, night, didn, atmosphere, server, meal, enjoyed, cocktails, steak, dinner, scallops, another. Reviews: Love love love The Love. I'm a big fan of Southern food and a low country atmosphere. It makes me feel like I'm on vacation in Charleston and the ambiance of The Love was on point. My boyfriend and I came here for brunch and ordered the hush puppies with honey butter and beer battered squash rings w Food was great, service spectacular.  Servers very attentive and observant.  Steak was not cooked how I requested, waitress noticed right away and handled it.  Fun vibe inside restaurant, great for a date night or friend celebration.  I will be back and highly recommend. Had a great big meal with family and we loved it.  We got a lot of the appetizers and devoured them.  The cheese plate was amazing.  I got one of the pastas for my meal - not a ton of food - which is fine.  Atmosphere is busy and approachable."
QWqKTWQ2OiDgo3dzNkpung,Jong Ka Jib,4.5,351,2.0,Philadelphia,6600 N 5th St,"Korean, Restaurants","Jong Ka Jib. Cuisine: Korean, Restaurants. Located at 6600 N 5th St, Philadelphia. Rating: 4.5 stars. Noise level: average. Ambience: classy, casual. Popular Keywords: korean, tofu, dishes, soup, philly, seafood, ingredients, soondubu, side, perfect, beef, want, need, everything, many. Reviews: Wow! This place is amazing. All who love Korean food need to come here. Everything I tried was very good. I came with my group of friends and all loved it. 
It feels like you are truly in Korea, thanks to the atmosphere and the design. 
LOVED IT! One of the worst service restaurant i been, their tofu stew had way to much msg.  many Korean restaurant in phila. area doesn't know how to cook good korean food use a lot of msg and sugar to make their food. this place is one of them. I think people who give 4 to 5 stars really doesn't know taste o I can't believe I haven't rated this place yet! I've been going here for years and honestly this is my favorite Korean restaurant! The people are friendly and the food is delicious! I always get the BBQ Ribs and all the side dishes are a perfect compliment!"
eJ77e9lGxY3ArzaoDbHhYw,Paddy Whacks Irish Sports Pub - South Street,2.5,161,2.0,Philadelphia,150 South St,"Bars, Nightlife, Pubs","Paddy Whacks Irish Sports Pub - South Street. Cuisine: Bars, Nightlife, Pubs. Located at 150 South St, Philadelphia. Rating: 2.5 stars. Noise level: loud. WiFi: free. Ambience: casual. Popular Keywords: drinks, music, friends, looking, friend, bartender, paddy, fried, happy, hour, chicken, philly, spot, bouncers, fight. Reviews: Went in here on a Tuesday night. Was planning on watching my college basketball team and aaked if i could have the channel changed on the small tv, but the bartender told me they were about to turn on the Sixers. Nice customer service considering there were more tvs than people in the place. I took  Went here for there New Year's Eve party tonight. The music was good. The crowd was nice but the open bar was terrible and not worth the $70 admission. I had 5 cranberry vodkas and they were all basically cranberry juice. The small amount of champagne they gave had more alcohol content then all the  This is a great pub for watching any sports games at. Their TV set up is great and it is never super packed and they always have specials. Good bar food."
7mpYTDb24SywNMRn3yeakQ,The Twisted Tail,4.0,604,2.0,Philadelphia,509 S 2nd St,"Event Planning & Services, Whiskey Bars, American (New), American (Traditional), Venues & Event Spaces, Bars, Nightlife, Restaurants","The Twisted Tail. Cuisine: Event Planning & Services, Whiskey Bars, American (New), American (Traditional), Venues & Event Spaces, Bars, Nightlife, Restaurants. Located at 509 S 2nd St, Philadelphia. Rating: 4.0 stars. Noise level: average. WiFi: free. Ambience: classy, casual. Popular Keywords: drinks, cheese, music, fried, twisted, tail, live, night, crawfish, chicken, drink, each, sauce, experience, again. Reviews: First time here and there was three of us, we ordered family style. The portions are small but filling if done family style; we spent $40 per person including tip. No drinks, we were more in the mood to eat. We got 7 plates and a dessert. For our first round we got the chorizo taco, burrata, scallop We assembled a small party to celebrate our daughters graduation and the experience was fantastic.   Focused service from the moment we walked in and collected at the bar right up to our departure was excellent.  The staff saw to our total enjoyment.  The food was outstanding and we had tons!  Oyste This is a great place for good music and great food. The Crawfish Mac & Cheese is a must. The atmosphere is warm and cozy. The people are great."
TGfPJHImEq6AQL9a1laxlg,Chick-fil-A,4.0,80,1.0,Philadelphia,9711 Roosevelt Blvd,"Event Planning & Services, American (Traditional), Restaurants, Food, Caterers, Fast Food, Chicken Shop, Breakfast & Brunch","Chick-fil-A. Cuisine: Event Planning & Services, American (Traditional), Restaurants, Food, Caterers, Fast Food, Chicken Shop, Breakfast & Brunch. Located at 9711 Roosevelt Blvd, Philadelphia. Rating: 4.0 stars. Noise level: average. WiFi: free. Ambience: casual. Popular Keywords: chick, drive, thru, wait, line, chicken, before, location, long, fast, minutes, breakfast, fries, pick, inside. Reviews: I love chick-fil-a, but this one is the slowest one I have ever been to. I ordered curb side pick up and I waited for 30 minutes before I went inside and asked where my order was. Apparently it had been sitting on the counter for almost 20 minutes. Then, it took another 5 for them to give me my food I ordered Chick-Fil-A through the DoorDash app, the official partner of food delivery for Chick-Fil-A. I was SO IMPRESSED. I did not feel like leaving my house on New Year's Day after being hung over and sick for five hours, and was so thankful to hear that Chick-Fil-A was open on New Year's Day AND Come here pretty often and recently I have not been happy I ordered curbside the first time they forgot fries for 2 of my meals I didn't see until I got home and the fries are my favorite part. Another time I used curbside i did it because the drive thru was so long and I wanted my food fast I sat t"
CPgWuWGZ4v2sZr5_-1kluw,Checkers,2.0,21,1.0,Philadelphia,1208 N. Broad,"Restaurants, Fast Food, Burgers","Checkers. Cuisine: Restaurants, Fast Food, Burgers. Located at 1208 N. Broad, Philadelphia. Rating: 2.0 stars. Noise level: average. Popular Keywords: location, fries, cream, card, dangerous, checkers, strawberry, pink, though, overall, outside, someone, area, charge, hella. Reviews: This place is a hazard. Tire popped on the way out with dangerous lack of signs and razor sharp concrete everywhere, they spit in my food and the manager literally ignored me when I brought it up to them. You can see the massive number of cars that have been broken on their dangerous curbs. This pla Checkers Rally's recently released strawberry soft serve ice cream. The sign showed a bright pink ice cream on a cone, and I knew I had to try it (even though it's freezing cold )! Although I tried it for the color, the taste was somewhat nostalgic and reminded me of the pink strawberry shortcake ic On three separate occasions at this exact location my debit card was over charge they swiped my card for my actual order then a second time for god knows what use cash only at this location and check your bank statements someone is stealing they charge my card $15.54 for a two for three meal"
VCkSUsdL5P0p16DAPxVROA,NY Bagel & Deli Shop,4.0,31,1.56,Philadelphia,1120 Buttonwood St,"Bagels, Food, Breakfast & Brunch, Coffee & Tea, Restaurants, Burgers, Delis","NY Bagel & Deli Shop. Cuisine: Bagels, Food, Breakfast & Brunch, Coffee & Tea, Restaurants, Burgers, Delis. Located at 1120 Buttonwood St, Philadelphia. Rating: 4.0 stars. Noise level: average. WiFi: free. Popular Keywords: bagel, breakfast, coffee, bagels, shop, sandwiches, sandwich, cheese, quick, options, again, tried, prices, fast, better. Reviews: Came here the other day for lunch and was very pleased with the bagel sandwich I ordered! I also ordered an iced coffee which is why I'm giving 4 stars and not 5. It was hot coffee poured over ice, watering down coffee and leaving it room temp without ice. 

I'll still be back, but will make my own  My favorite new place for breakfast and lunch! Quick and friendly service. Their omelets and sandwiches are amazing, and prices are pretty cheap I wanted to like this place more than I did. Clean, fast service, fair prices. But I wanted the bagel itself to be better. I admit that I am a bagel snob, so while this bagel was leagues better than what you would get in a super market, there are far better bagel options in the city. It was doughy e"
kGjpBqAqG4mIuFSgU2KKEA,The Royal Indian Cuisine,4.0,28,3.0,Philadelphia,272 S 20th St,"Restaurants, Indian","The Royal Indian Cuisine. Cuisine: Restaurants, Indian. Located at 272 S 20th St, Philadelphia. Rating: 4.0 stars. Ambience: intimate. Popular Keywords: indian, chicken, naan, dishes, garlic, ketchup, tikka, lamb, area, after, mild, most, again, cooked, along. Reviews: Finally, a great Indian restaurant in Rittenhouse. They just opened up and we ordered Chat Papri-excellant. Great onion nan. Loved the Baingan Bharta. The palak paneer was ordered medium spicy and came mild and that is my only complaint. We really loved the food and will most definitely order from t Chicken tikka masala was disappointing, cubes of over cooked chicken breast in a sauce. Pricey for what it is... Samosa chaat was more like a stew. Hoping the next time the dishes will seem more like ""home"" cooked. Wow a serious disappointment. In fairness my review is the product of one disappointing Caviar delivery for three. Absolutely no service issues or grievances unrelated to the food (ie packaging, presentation etc). Quite simply the worst Indian delivery meal I have had in my memory. Insipid entrees, "
kLSEk3qXY1KdtFjxHJ9pww,McDonald's,1.5,20,1.0,Philadelphia,501 Franklin Mill Cir,"Restaurants, Fast Food, Food, Coffee & Tea, Burgers","McDonald's. Cuisine: Restaurants, Fast Food, Food, Coffee & Tea, Burgers. Located at 501 Franklin Mill Cir, Philadelphia. Rating: 1.5 stars. Popular Keywords: drive, manager, front, thru, worst, minutes, after, window, customers, through, yelled, line, person, move, speaker. Reviews: This place was good before n it's bad n getting to the worse. They fight n argue with the customers n the manager just sat and do nothing. For the services you have to wait 2 or 3 minutes on the front of register to get serve, so at least need 20 minutes to get your food The old lady at the drive through taking money was rude af. Yelled at me as if I was doing something wrong. The staff here needs better training. The manager a middle aged indian woman is not at all friendly. Doesnt say thank you. The help around her is not so good either. Even if the goof was worth it i woyldnt go. The manager shoyldnt haveva job with the public."
z7sp6u5JnNlq2ziu31EFvw,CVS Optical,2.5,35,2.0,Philadelphia,1405 South 10th St,"Shopping, Food, Health & Medical, Pharmacy, Convenience Stores, Drugstores","CVS Optical. Cuisine: Shopping, Food, Health & Medical, Pharmacy, Convenience Stores, Drugstores. Located at 1405 South 10th St, Philadelphia. Rating: 2.5 stars. Popular Keywords: mask, store, pharmacy, doctor, several, wearing, manager, enforcing, front, covid, where, lines, tests, self, checkout. Reviews: They must have changed the staff since the prior reviews. I've had nothing but good experiences at this pharmacy. My doctor screwed up my prescription. The pharmacist (Nick) on several occasions was not only patient but went above and beyond to try to get the doctor to correct the problem. Being in  NO ONE WEARING MASK. Manager not enforcing. Multiple people checking out with no mask, as well as employee going to front cash register with no mask. Last time I checked I did not think that masks were optional inside stores. Start enforcing mask wearing! This store is an absolute disgrace and the manager should be fired immediately. I went in to get a covid test after two days of waiting, and it was completely unclear where they were located. I called ahead of time, and the person who answered was rude and ended up hanging up on me. I then waited in"
JomDoQafikclSVVCPkWjnA,Cedar Park Cafe,4.0,301,1.0,Philadelphia,4914 Baltimore Ave,"Diners, Restaurants, Sandwiches, Breakfast & Brunch, Vegetarian","Cedar Park Cafe. Cuisine: Diners, Restaurants, Sandwiches, Breakfast & Brunch, Vegetarian. Located at 4914 Baltimore Ave, Philadelphia. Rating: 4.0 stars. Noise level: average. Ambience: casual. Popular Keywords: chicken, breakfast, waffles, park, cafe, spot, cedar, philly, west, brunch, wait, waffle, fries, pancakes, home. Reviews: Cedar Park Cafe is one of those spots you stumble upon while casually walking back to your apartment in West Philly. Along with the very homey vibes it gives off, the smell of freshly baked hot cakes is what got us to pay a visit. 

The menu had many options for different brunch items, but what caug It's was busy but service was great/prompt. I got their chicken and waffle special. It was really good. Good spot for brunch or nursing a hangover! The home fries were ok. Don't bother going because the service is absolute trash. Not sure what we did to upset the staff, I can only guess it was because we sat at a dirty table (the host told us to seat ourselves), but we sat and waited for over 15 minutes watching people who came in well after us getting menus and servi"
kq5Ghhh14r-eCxlVmlyd8w,The Coventry Deli,4.0,65,1.0,Philadelphia,2000 Market St,"Restaurants, Delis, Salad, Sandwiches","The Coventry Deli. Cuisine: Restaurants, Delis, Salad, Sandwiches. Located at 2000 Market St, Philadelphia. Rating: 4.0 stars. Noise level: average. Ambience: casual. Popular Keywords: rude, lunch, options, phone, forgot, dressing, years, deli, breakfast, plenty, sandwich, variety, choices, prices, items. Reviews: The woman who answers the phone is so rude. Just had food delivered in center city and they forgot the dressing. When I called to tell them she abruptly responds it will be on its way and slams down phone. I'm not the one who forgot the dressing, you are so why are you getting mad at me. Double chec This place is right across from commerce square and a pretty huge deli! I usually only come here for breakfast but ive heard lunch options are extensive as well! There are plenty of breakfast sandwich options but for the vegetarian there are waffles, pancakes, bagels and a variety of soft muffins -  2 words are all you need to know:

Strawberry. Shortcake.

End of story.
Has been serving up law firm cakes for years.  Decades even.

Yes, please!"
y1HgVnt4K5owmYXC5yXLGg,Flambo Caribbean Restaurant,4.5,138,2.0,Philadelphia,820 N Broad St,"Trinidadian, Caribbean, Restaurants, Seafood","Flambo Caribbean Restaurant. Cuisine: Trinidadian, Caribbean, Restaurants, Seafood. Located at 820 N Broad St, Philadelphia. Rating: 4.5 stars. Noise level: average. WiFi: free. Ambience: romantic, intimate, classy. Popular Keywords: chicken, roti, curry, flambo, shrimp, rice, goat, buss, meal, tried, philly, caribbean, sauce, oxtail, after. Reviews: We had high expectations, but it didn't live up to them. The curry shrimp had very little Curry and not much sauce, mostly just a little bit underneath. There was a pile of plain rice, and a little bit of vegetable garnish. The oxtail was a bit salty, which may be correct, but also had very little s The staff make this restaurant to notch. 
The food is crazy good. No need to even bother to tell you. Go eat. Period. 
But the gentleman who helped me was so kind and friendly. Just a sheer delight. I hope he's there when we come back. 
Pro tip: the space they have is huge! Book a tropical venue her One word.... excellent. I am a HUGE foodie. I have had meals from all of the top restaurants in Philly. I love traveling and eating. Tonight I was blown away. Small place tucked in an odd part of Philadelphia to outsiders. Let's start with the drinks. Amazing juices, it is a byob,  so be prepared to"
RrqRin8BYGrTlJbCDwtLzA,Wawa,3.5,50,1.0,Philadelphia,3744 Spruce St,"Delis, Gas Stations, Food, Convenience Stores, Restaurants, Automotive, Coffee & Tea, Sandwiches","Wawa. Cuisine: Delis, Gas Stations, Food, Convenience Stores, Restaurants, Automotive, Coffee & Tea, Sandwiches. Located at 3744 Spruce St, Philadelphia. Rating: 3.5 stars. Noise level: average. WiFi: free. Popular Keywords: wawa, store, items, coffee, team, manager, security, find, gobbler, convenient, homeless, customer, able, flock, customers. Reviews: Cold Brew Coffee Quest #6

With the start of summer in Philly, my wife and I are determined to find the best Cold Brew Coffee that our city has to offer! No national chains allowed.

-Overall Score: 4 out of 5
-Pros: Incredible value (only $2), smooth and smoky flavor, and nearby UPenn BioPond view
 Awful, waited 2 and a half hours for my order and then they had an attitude when I asked why is it taking so long. Wouldnt recommend this wawa to anyone. Their drinks that you order from the kiosk machine are usually good. The food is so so. I like the seasonal turkey gobbler. It's convenient for snacks.

There's only street parking which is very limited being that it's nexts to UofP and you have to pay for parking. 

There's a lot of homeless people"
HuDNHqKv9n1mWpe4BqCnwA,Minas Pizza,3.0,54,1.0,Philadelphia,6151 Ridge Ave,"Restaurants, Pizza","Minas Pizza. Cuisine: Restaurants, Pizza. Located at 6151 Ridge Ave, Philadelphia. Rating: 3.0 stars. Noise level: average. Ambience: casual. Popular Keywords: pizza, delivery, mina, crust, cheese, completely, driver, horrible, worth, minas, money, better, worst, experience, cheesecake. Reviews: Complete TRASH!!!!..... both the food AND the service. Delivery driver was very rude and and disrespectful. Food was delivered over and hour late with no apology and tasted HORRIBLE. Not worth it.  Would NOT recommend. I will tell everyone I know not to eat here. Don't order the spaghetti. There's nothing good about it. The service sucks! The employees who took my order and worked at the pickup counter where having a bad day, and it showed. The size large was only $11 which made it a good bang for your buck. Would definitely rather order from Minas than Dominos at the lower price point for a large pie. The crust was phenomenal, cheese sauce and toppings were good - slightly greasy. I will definitely be ordering from Minas again."
BxR5hjyBnJZrm_nnaCtGQw,The Lunar Inn,4.5,29,2.0,Philadelphia,3124 Richmond St,"Bars, Food, Restaurants, Beer, Wine & Spirits, American (Traditional), Nightlife","The Lunar Inn. Cuisine: Bars, Food, Restaurants, Beer, Wine & Spirits, American (Traditional), Nightlife. Located at 3124 Richmond St, Philadelphia. Rating: 4.5 stars. WiFi: free. Ambience: hipster, casual, trendy. Popular Keywords: neighborhood, drinks, beer, fries, port, richmond, lunar, burger, vibe, brunch, something, options, addition, happy, cocktails. Reviews: Absolutely amazing! Everyone must check out Lunar Inn.  First stopped into tiny bottles and was greeted and chatted with Sean. Very knowledgeable and welcoming. Wine can be overwhelming but gave great recommendations. Great beer selection too! Went over to Lunar Inn and our server Emily was the best I stopped in for the first time on Sunday afternoon for drinks.  Comfortable and laid back.  I didn't even realize they served food/brunch.  I'll be back to try that. I did get to watch the Phillies game on a large screen which was nice.  Friendly staff.  Only thing I didn't like was how tiny the mi Best Lox I've had in a long time. Lox, pickled onions, cream cheese on a pretzel bun. Mhmmm mhmmm. 
I love the decor. Reminds me of the old bait & switch. 
My friend got a bowl of cheesy mushrooms with small bread pieces. 
Coffee was real good and not too zippy. 
Service was excellent. 
No wait to b"
NQSnr4RPUScss607oxOaqw,Chase's Hop Shop,4.5,116,1.0,Philadelphia,7235 Rising Sun Ave,"Chicken Wings, Nightlife, Bars, Delis, Food, Beer Gardens, Sandwiches, Beer Bar, Restaurants, Beer, Wine & Spirits, Gastropubs","Chase's Hop Shop. Cuisine: Chicken Wings, Nightlife, Bars, Delis, Food, Beer Gardens, Sandwiches, Beer Bar, Restaurants, Beer, Wine & Spirits, Gastropubs. Located at 7235 Rising Sun Ave, Philadelphia. Rating: 4.5 stars. Noise level: quiet. WiFi: free. Ambience: casual. Popular Keywords: wings, fries, local, spot, beer, selection, chase, shop, cheesesteak, favorite, burnt, grab, craft, least, couple. Reviews: Me and my man geogre b. Think these the best wings in the city only wish they did wing nite we would grip at least 100 and a couple big reds Great local spot. I always heard good things about this place and stopped in today. The wings were great, fries were good, and also had a good burger. The place had a friendly atmosphere, and plenty of beer selection. 

This is definitely a good spot to stop and eat & relax. They also have a Nintend I order pick up from Chase's at least once a month for their cheesesteak and cheese fries and it never fails to satiate my cravings! Workers are always super friendly and it's always a quick and easy exchange. Definitely my favorite local cheesesteak spot!!"
V6Om7YZhlRQRU7WfuxHq8Q,Beck's Cajun Cafe,4.0,485,1.0,Philadelphia,51 N 12th St,"Restaurants, Cajun/Creole","Beck's Cajun Cafe. Cuisine: Restaurants, Cajun/Creole. Located at 51 N 12th St, Philadelphia. Rating: 4.0 stars. Noise level: average. WiFi: free. Ambience: casual. Popular Keywords: cajun, reading, terminal, cheese, market, fried, gumbo, shrimp, around, jambalaya, philly, sausage, catfish, rice, beck. Reviews: Delicious Cajun food! Since it was my first time trying out this cuisine, I was taken aback with its splendid concoction of flavours. I recommend the Jambalaya bowl with Cajun seasoning and the Creole Chicken Corn Chowder. Helpful staff, he even allowed us a sampling before we decided on our final o One of the best places in Reading, and that's saying a lot. Nice NOLA flair in Philly. They have gator, po boy and gumbo - not to mention their cornbread and fried Mac and cheese. They use really good bread for their sandwiches and have friendly, causal service. Their counter is always packed, which Hands down best spot in the terminal! The food is excellent and the girls that work here all rock! Get the trainwreck!!!"
